method,instance,n_customers,n_vehicles,total_cost,execution_time_seconds
Sweep Algorithm,Instance 1,100,30,36177.0,0.0003597736358642578
Sweep Algorithm,Instance 2,203,19,41421.0,0.00018453598022460938
Sweep Algorithm,Instance 3,302,22,51478.0,0.0002834796905517578
Sweep Algorithm,Instance 4,400,30,134613.0,0.0003154277801513672
Sweep Algorithm,Instance 5,501,39,105831.0,0.0005135536193847656
Sweep Algorithm,Instance 6,612,66,129122.0,0.0004930496215820312
Sweep Algorithm,Instance 7,700,46,238910.0,0.0009369850158691406
Sweep Algorithm,Instance 8,800,40,296190.0,0.0007805824279785156
